"Jahr","Gemeinde_Nr","Gemeinde","Messkategorie","Wert","Einheit"
2022,1,"Aeugst a.A.","Grundgebuehr",204.63,"CHF"
2021,1,"Aeugst a.A.","Grundgebuehr",204.63,"CHF"
2020,1,"Aeugst a.A.","Grundgebuehr",204.63,"CHF"
2019,1,"Aeugst a.A.","Grundgebuehr",204.63,"CHF"
2018,1,"Aeugst a.A.","Grundgebuehr",205.2,"CHF"
2017,1,"Aeugst a.A.","Grundgebuehr",205.2,"CHF"
2016,1,"Aeugst a.A.","Grundgebuehr",205.2,"CHF"
2015,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2014,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2013,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2012,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2011,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2010,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2009,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2008,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2007,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2006,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2005,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2004,1,"Aeugst a.A.","Grundgebuehr",190,"CHF"
2003,1,"Aeugst a.A.","Grundgebuehr",240,"CHF"
2002,1,"Aeugst a.A.","Grundgebuehr",240,"CHF"
2001,1,"Aeugst a.A.","Grundgebuehr",258.25,"CHF"
2000,1,"Aeugst a.A.","Grundgebuehr",170,"CHF"
2022,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2021,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2020,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2019,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2018,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2017,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2016,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2015,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2014,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2013,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2012,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2011,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2010,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2009,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2008,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2007,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2006,1,"Aeugst a.A.","35-L-Sack",1.8,"CHF"
2005,1,"Aeugst a.A.","35-L-Sack",2,"CHF"
2004,1,"Aeugst a.A.","35-L-Sack",2,"CHF"
2003,1,"Aeugst a.A.","35-L-Sack",2,"CHF"
2002,1,"Aeugst a.A.","35-L-Sack",2,"CHF"
2001,1,"Aeugst a.A.","35-L-Sack",2.5,"CHF"
2000,1,"Aeugst a.A.","35-L-Sack",2,"CHF"
2022,2,"Affoltern a.A.","Grundgebuehr",118.5,"CHF"
2021,2,"Affoltern a.A.","Grundgebuehr",110,"CHF"
2020,2,"Affoltern a.A.","Grundgebuehr",110,"CHF"
2019,2,"Affoltern a.A.","Grundgebuehr",110,"CHF"
2018,2,"Affoltern a.A.","Grundgebuehr",110,"CHF"
2017,2,"Affoltern a.A.","Grundgebuehr",80,"CHF"
2016,2,"Affoltern a.A.","Grundgebuehr",86.4,"CHF"
2015,2,"Affoltern a.A.","Grundgebuehr",108,"CHF"
2014,2,"Affoltern a.A.","Grundgebuehr",108,"CHF"
2013,2,"Affoltern a.A.","Grundgebuehr",108,"CHF"
2012,2,"Affoltern a.A.","Grundgebuehr",108,"CHF"
2011,2,"Affoltern a.A.","Grundgebuehr",108,"CHF"
2010,2,"Affoltern a.A.","Grundgebuehr",100,"CHF"
2009,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2008,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2007,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2006,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2005,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2004,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2003,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2002,2,"Affoltern a.A.","Grundgebuehr",107.6,"CHF"
2001,2,"Affoltern a.A.","Grundgebuehr",120,"CHF"
2000,2,"Affoltern a.A.","Grundgebuehr",120,"CHF"
2022,2,"Affoltern a.A.","35-L-Sack",1.7,"CHF"
2021,2,"Affoltern a.A.","35-L-Sack",1.7,"CHF"
2020,2,"Affoltern a.A.","35-L-Sack",1.7,"CHF"
2019,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2018,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2017,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2016,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2015,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2014,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2013,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2012,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2011,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2010,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2009,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2008,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
2007,2,"Affoltern a.A.","35-L-Sack",1.8,"CHF"
