Xtf_id,Name,Zip,Place,Operator,Contact,OperatorAddress,Phone,Web,Mail,BeginningOfOperation,Power,Energy,HouseConnections,NetLength,EnergySource1,EnergySource2,PositionAccuracy,x,y
tn2,Kantonales Zeughaus Aarau,5000,Aarau,Kantonale Verwaltung Militär,Kantonale Verwaltung Militär,Rohrerstrasse 7,628353100,https://www.holzenergie.ch,info@holzenergie.ch,1996,0.65,,,,5,,103,2646630.4,1249437.2
tn1126,Wärmeverbund Bodmatt,4422,Aarisdorf,EBL,,"Mühlemattstrasse 6, 4410 Liestal",800325000,https://www.ebl.ch/de/unternehmen/standorte.html,info@ebl.ch,,0.343,492,54,,5,,103,2624189.755,1262646.363
tn901,Wärmeverbund BiEAG Hünenberg,6331,Hünenberg,Biomasse Energie AG,Patrick Birrer,Fidern 5,417805300,https://www.bafu.admin.ch/bafu/de/home/themen/klima/fachinformationen/klimapolitik/kompensation-von-co2-emissionen/liste-registrierte-kompensationsprojekte/3-2-waermeerzeugung-durch-verbrennung-von-biomasse-mit-und-ohne-.html,info@bieag.ch,2011,0.9,12500,47,16.5,5,8,103,2675555.3,1226189
tn1003,Holzenergieverbund Wyden,8408,Winterthur,Stadtwerk Winterthur,Stadtwerk Winterthur,Vertrieb,522674144,https://www.stadtwerk.winterthur.ch,stadtwerk.vertrieb@win.ch,2011,,4000,,,5,2,103,2693601.3,1262584.201
tn1035,Energiezentrum Haltikon,6403,Haltikon,Agro Energiezentrum Rigi AG,ECOGEN Rigi Genossenschaft,Haltikon 55,418114143,https://www.ecogen-rigi.ch/energiezentrum/energiezentrum-haltikon,info@ecogen-rigi.ch,2020,20,60000,,,5,4,103,2673940.447,1215631.778
tn1037,Seewasserverbund Klausstrasse Zürich,8008,Zürich,ewz,ewz,"Tramstrasse 35, 8050 Zürich",583192020,https://www.ewz.ch/edl/de/home/projekte/seewasserverbunde.html,medien@ewz.ch,,,,,,10,,103,2683800.894,1245938.267
tn1038,"Wärmeverbund ""Schule"" Hettlingen",8442,Hettlingen,Politische Gemeinde Hettlingen,Florian Oetterli,Schulstrasse 20,523011174,https://www.hettlingen.ch ,florian.oetterli@schule-hettlingen.ch,1995,1.6,2975,268,,5,1,103,2695371.303,1267201.793
tn834,CAD Avenches,1580,Avenches,Thermoréseau Avenches SA,Thermoréseau Avenches SA,Rue Centrale 6,266753221,https://www.bafu.admin.ch/bafu/de/home/themen/klima/fachinformationen/klimapolitik/kompensation-von-co2-emissionen/liste-registrierte-kompensationsprojekte/3-2-waermeerzeugung-durch-verbrennung-von-biomasse-mit-und-ohne-.html,willy.tremp@thravenches.ch,2015,9.4,,,,5,2,103,2569965.2,1192885.4
tn457,CAD Val-de-Charmey,1637,Val-de-Charmey,Romande Energie,Commune de Charmey,Les Lévanches 1,269275757,https://www.val-de-charmey.ch/fr/,adm.communale@charmey.ch,2018,7.4,8700,51,,5,1,103,2578434.74,1163564.714
tn1015,CAD Morgins,1875,Morgins,Romande Energie,Michèle Cassani,"Avenue de la Gare 22, 1028 Préverenges",218029567,https://www.romande-energie.ch,michele.cassani@romande-energie.ch,2018,2.78,,41,1.8,5,6,103,2554696.964,1120640.017
