xtf_id,Name,HeatPotential_MWha,HeatSupplierCategory,_x,_y
201,Affoltern-Zwillikon,14200,12,2675151,1238150
401,Hausen,2700,12,2682101,1232650
701,Knonau,5700,12,2667051,1230600
1001,Obfelden,4500,12,2673201,1235200
2501,Dachsen,2900,12,2688701,1279500
2801,Flaachtal,3000,12,2686921,1270010
3001,Andelfingen,5600,12,2692671,1273400
3501,Marthalen (Weinland),3200,12,2690261,1275200
3701,Ossingen,2000,12,2696251,1274100
3801,Rheinau,1000,12,2687151,1276550
3901,Thalheim (Guetighausen),1100,12,2697351,1271900
4201,Unterstammheim (Stammertal),2100,12,2700501,1277275
5201,Bassersdorf,16000,12,2689851,1254050
5301,Buelach,25600,12,2682045,1263612
5501,Eglisau,7900,12,2680561,1270373
6602,Opfikon-Kloten,29600,12,2684501,1254700
6801,Rorbas,13700,12,2685526,1265605
8301,Buchs (Furthof),8100,12,2674151,1255940
8901,Niederglatt (Fischb. -Gl. ),33100,12,2679551,1261600
9401,Otelfingen,5500,12,2671641,1256018
9601,Regensdorf (Wueeri),14400,12,2676081,1256080
10001,Stadel,1700,12,2678047,1266657
11201,Bubikon (Wolfhausen),2800,12,2702901,1234400
11301,Duernten (Bubikon),6300,12,2705251,1236100
11501,Gossau,10300,12,2699101,1240160
11701,Hinwil,8500,12,2703751,1240770
11801,Rueti,12000,12,2707021,1234220
12001,Wald,7700,12,2711101,1236850
12101,Wetzikon,24400,12,2701401,1242950
13201,Hirzel,1600,12,2688751,1229100
13301,Horgen,19200,12,2687051,1235800
13801,Richterswil,11300,12,2695641,1230040
14001,Schoenenberg,1200,12,2691751,1229050
14101,Thalwil,18000,12,2685951,1238000
14201,Waedenswil,17100,12,2692301,1232825
15301,Hombrechtikon (Feldbach),6700,12,2702021,1232550
15401,Kuesnacht,14900,12,2686750,1240585
15501,Maennedorf,9100,12,2694151,1234740
15601,Meilen,19900,12,2692501,1235600
15801,Staefa/Oetikon,8800,12,2697251,1232840
15802,Staefa/Uerikon,2600,12,2699735,1232482
16001,Zumikon,4500,12,2689026,1242735
17101,Bauma,5800,12,2706831,1250470
17201,Fehraltorf,7600,12,2698241,1249800
17401,Illnau-Effretikon (Mannenberg),14800,12,2695331,1245975
17701,Pfaeffikon,11100,12,2700551,1246900
