Jahr,Kanton,Anzahl_anlagen,Installierte_leistung_kW,Verguetung_CHF,Anzahl_anlagen_pro_100000_einwohner,Installierte_leistung_kW_pro_100000_einwohner
2014,"AG",52,400.25,620373.50,8,62
2014,"AI",12,80.78,124164.50,76,510
2014,"AR",15,101.28,152294.00,28,187
2014,"BE",107,733.49,1205752.50,11,73
2014,"BL",29,184.50,317440.50,10,66
2014,"BS",7,48.38,58880.00,4,25
2014,"FR",13,70.12,119944.00,4,23
2014,"GE",NA,NA,NA,NA,NA
2014,"GL",NA,NA,NA,NA,NA
2014,"GR",15,98.28,149419.00,8,50
2014,"JU",NA,NA,NA,NA,NA
2014,"LU",38,272.82,431420.50,10,69
2014,"NE",10,47.23,81474.50,6,27
2014,"NW",NA,NA,NA,NA,NA
2014,"OW",NA,NA,NA,NA,NA
2014,"SG",103,711.61,1032860.50,21,144
2014,"SH",NA,NA,NA,NA,NA
2014,"SO",28,197.08,306915.00,11,75
2014,"SZ",13,89.41,150802.50,9,59
2014,"TG",NA,NA,NA,NA,NA
2014,"TI",27,169.02,255805.50,8,48
2014,"UR",NA,NA,NA,NA,NA
2014,"VD",28,152.35,234532.50,4,20
2014,"VS",20,140.71,189642.00,6,42
2014,"ZG",NA,NA,NA,NA,NA
2014,"ZH",52,357.46,567663.00,4,25
2015,"AG",752,7336.32,8079240.21,115,1122
2015,"AI",78,896.00,1021502.70,488,5609
2015,"AR",120,1100.87,1254470.60,220,2018
2015,"BE",1657,15808.79,18307397.28,163,1554
2015,"BL",413,3563.96,3895177.13,146,1258
2015,"BS",38,326.88,348858.30,20,170
2015,"FR",415,3634.66,4035991.60,135,1182
2015,"GE",163,861.36,1134793.33,34,178
2015,"GL",38,341.11,373505.20,95,852
2015,"GR",203,1830.19,2129851.90,103,931
2015,"JU",77,675.18,785092.50,106,928
2015,"LU",609,7234.55,7803615.24,153,1814
2015,"NE",219,1660.49,1900257.50,123,932
2015,"NW",10,73.19,95104.50,24,173
2015,"OW",20,212.33,249308.00,54,573
2015,"SG",1034,9669.90,10594587.58,207,1938
2015,"SH",65,630.67,646300.10,81,790
2015,"SO",343,3050.16,3567268.67,129,1145
2015,"SZ",141,1323.93,1527294.20,92,859
2015,"TG",341,3869.33,3928301.70,128,1447
2015,"TI",669,5850.10,6239205.10,190,1662
2015,"UR",74,638.33,717394.80,206,1774
2015,"VD",696,4774.99,5651117.50,90,617
2015,"VS",398,2888.83,3416662.19,119,861
2015,"ZG",63,836.91,934724.60,52,685
2015,"ZH",764,7362.87,8201186.69,52,502
2016,"AG",730,8796.18,7919610.26,110,1326
2016,"AI",43,510.46,487086.50,269,3190
2016,"AR",147,1474.81,1373261.13,267,2684
2016,"BE",1403,16395.23,15397368.19,137,1597
2016,"BL",387,3782.77,3378510.13,135,1324
2016,"BS",42,348.55,345632.54,22,181
2016,"FR",568,5888.31,5231535.90,182,1888
2016,"GE",146,865.46,828468.90,30,177
2016,"GL",47,512.68,448931.30,117,1277
2016,"GR",236,2554.85,2266004.80,119,1293
2016,"JU",99,1067.53,982577.00,135,1460
2016,"LU",570,9450.89,7762259.90,141,2343
2016,"NE",376,3330.88,3033214.25,211,1865
2016,"NW",7,118.21,137261.50,16,278
2016,"OW",43,478.50,437371.10,115,1280
2016,"SG",1181,12703.22,11289964.60,235,2528
2016,"SH",111,1324.44,1165199.60,137,1640
2016,"SO",410,3601.89,3420105.80,152,1337
2016,"SZ",137,1765.89,1613472.21,88,1133
2016,"TG",482,6142.33,5280866.17,178,2269
2016,"TI",709,6932.40,6038480.74,200,1956
2016,"UR",38,335.10,320276.60,105,927
2016,"VD",1138,8334.90,7899538.75,145,1062
2016,"VS",510,4567.77,4315696.36,150,1347
2016,"ZG",69,1056.81,849134.80,56,853
2016,"ZH",772,8458.23,7693074.90,52,568
2017,"AG",728,8790.23,6296860.29,108,1310
2017,"AI",48,600.04,449400.00,298,3726
2017,"AR",97,1095.12,800849.40,176,1985
2017,"BE",1469,17534.80,13503088.99,142,1701
2017,"BL",364,3644.58,2654323.74,127,1270
2017,"BS",42,387.56,275914.80,22,200
2017,"FR",810,8201.60,5625498.25,257,2603
2017,"GE",160,1032.23,792313.40,32,208
2017,"GL",25,283.79,222545.30,62,703
2017,"GR",326,3839.21,2721705.11,165,1940
2017,"JU",122,1323.09,953934.10,166,1805
2017,"LU",586,8887.27,5848213.90,144,2186
2017,"NE",410,3313.32,2411093.20,230,1862
2017,"NW",30,432.69,378976.00,70,1007
2017,"OW",45,592.45,399534.02,120,1577
2017,"SG",992,11785.94,8316820.99,197,2335
2017,"SH",160,1424.51,991739.20,197,1751
2017,"SO",307,3183.32,2403550.00,113,1173
2017,"SZ",145,2026.03,1516390.40,92,1288
2017,"TG",611,7611.65,5097406.30,223,2780
2017,"TI",682,6427.22,4380121.80,193,1817
2017,"UR",37,329.72,224403.00,102,908
2017,"VD",1613,11077.74,8703952.81,203,1397
2017,"VS",584,5647.01,4262461.38,171,1654
2017,"ZG",117,1917.66,1430317.13,93,1529
2017,"ZH",939,10415.90,7268825.73,62,692
2018,"AG",497,9422.42,8642850.87,73,1389
2018,"AI",37,763.53,802750.80,229,4729
2018,"AR",132,1966.93,2075456.60,239,3561
2018,"BE",1462,31783.16,32891798.11,141,3071
2018,"BL",572,11388.17,12117282.55,199,3952
2018,"BS",142,2858.88,2854087.70,73,1468
2018,"FR",399,8175.15,6611188.50,125,2565
2018,"GE",168,2557.92,2568898.50,34,512
2018,"GL",37,641.52,658181.40,92,1588
2018,"GR",205,4216.15,3967181.13,103,2125
2018,"JU",115,2580.74,2361838.10,157,3515
2018,"LU",390,10728.63,9460965.00,95,2620
2018,"NE",184,2841.06,2406718.18,104,1606
2018,"NW",41,826.45,862566.00,95,1912
2018,"OW",31,589.14,609779.90,82,1557
2018,"SG",857,16559.87,16211498.65,169,3262
2018,"SH",71,1733.12,1338641.20,87,2114
2018,"SO",468,8385.20,9144332.20,171,3069
2018,"SZ",134,3389.76,2920144.20,84,2130
2018,"TG",192,4329.53,3236612.70,69,1566
2018,"TI",361,5212.79,4635081.50,102,1475
2018,"UR",25,474.45,480305.50,69,1302
2018,"VD",793,11866.82,10170765.55,99,1485
2018,"VS",402,8090.02,7519472.70,117,2352
2018,"ZG",88,2641.52,2184658.20,69,2083
2018,"ZH",676,13134.59,12064405.53,44,864
2019,"AG",872,22898.69,14313010.60,127,3339
2019,"AI",51,1006.58,622925.90,316,6241
2019,"AR",129,2690.87,1758019.05,233,4853
2019,"BE",1735,49758.79,35652626.99,167,4787
2019,"BL",526,12521.17,9238568.58,182,4326
2019,"BS",143,4295.18,2916566.48,73,2193
2019,"FR",1153,30026.93,20041567.45,358,9331
2019,"GE",481,10764.11,7551095.95,95,2135
2019,"GL",38,780.34,511811.65,94,1922
2019,"GR",377,7973.19,5653026.65,189,4006
2019,"JU",270,7522.37,5259540.15,367,10223
2019,"LU",727,26933.06,17285982.50,176,6519
2019,"NE",458,7397.31,4913858.15,259,4191
2019,"NW",50,918.70,654671.50,116,2132
2019,"OW",39,942.31,570929.30,103,2484
2019,"SG",948,29552.63,19513823.47,186,5786
2019,"SH",118,2795.82,2078071.90,143,3395
2019,"SO",420,14316.40,10203884.44,153,5201
2019,"SZ",195,5180.58,3319109.20,122,3228
2019,"TG",627,19396.56,11870274.18,224,6939
2019,"TI",777,21565.12,14312130.55,221,6135
2019,"UR",38,629.29,374148.50,104,1715
